0.752006	0.77961	0.751002	0.747501
0.683318	0.760619	0.733439	0.716896
0.638714	0.714631	0.719327	0.695765
0.715959	0.751847	0.706648	0.705228
0.642665	0.716967	0.701247	0.682319
0.654659	0.67656	0.695028	0.618369
0.63207	0.653039	0.678708	0.609628
0.640363	0.643003	0.603655	0.597357
0.639909	0.638164	0.599186	0.593584
0.577159	0.618048	0.589542	0.573726
0.52395	0.644262	0.582039	0.528286
0.458353	0.652165	0.578608	0.629917
0.570134	0.615032	0.576516	0.575999
0.534794	0.584197	0.574115	0.541356
0.49739	0.559201	0.566631	0.541437
0.522002	0.587601	0.555511	0.502412
0.537085	0.649714	0.555024	0.605536
0.596001	0.626546	0.547456	0.530161
0.595558	0.613197	0.536132	0.520684
0.552186	0.617417	0.532319	0.528789
0.541262	0.569785	0.499931	0.482165
0.511046	0.570104	0.496619	0.48267
0.427125	0.470788	0.460692	0.406032
0.354596	0.482276	0.415603	0.418675
0.41675	0.501953	0.396518	0.445107
0.328953	0.41628	0.390404	0.342185
0.37206	0.551373	0.384093	0.512906
0.28159	0.403928	0.378587	0.315715
0.401422	0.487496	0.35461	0.483237
0.125339	0.197093	0.180106	0.123252
0.16354	0.192342	0.149565	0.117534
